"roster_id","team_id","year","person_id","created_at","updated_at"
247,8,20212022,8481540,"2021-10-07 15:31:51.45796-07","2021-10-07 15:31:51.45796-07"
248,8,20212022,8481555,"2021-10-07 15:31:51.775113-07","2021-10-07 15:31:51.775113-07"
249,8,20212022,8482087,"2021-10-07 15:31:52.181634-07","2021-10-07 15:31:52.181634-07"
250,9,20212022,8478400,"2021-10-07 15:31:52.63382-07","2021-10-07 15:31:52.63382-07"
251,9,20212022,8474207,"2021-10-07 15:31:52.970958-07","2021-10-07 15:31:52.970958-07"
252,9,20212022,8474584,"2021-10-07 15:31:53.328968-07","2021-10-07 15:31:53.328968-07"
253,9,20212022,8474589,"2021-10-07 15:31:53.675414-07","2021-10-07 15:31:53.675414-07"
254,9,20212022,8475461,"2021-10-07 15:31:54.025385-07","2021-10-07 15:31:54.025385-07"
255,9,20212022,8475766,"2021-10-07 15:31:54.557537-07","2021-10-07 15:31:54.557537-07"
256,9,20212022,8476341,"2021-10-07 15:31:54.885286-07","2021-10-07 15:31:54.885286-07"
257,9,20212022,8476899,"2021-10-07 15:31:54.956907-07","2021-10-07 15:31:54.956907-07"
258,9,20212022,8476919,"2021-10-07 15:31:55.033442-07","2021-10-07 15:31:55.033442-07"
259,9,20212022,8477015,"2021-10-07 15:31:55.336961-07","2021-10-07 15:31:55.336961-07"
260,9,20212022,8477384,"2021-10-07 15:31:55.626749-07","2021-10-07 15:31:55.626749-07"
261,9,20212022,8477426,"2021-10-07 15:31:56.022797-07","2021-10-07 15:31:56.022797-07"
262,9,20212022,8477482,"2021-10-07 15:31:56.37723-07","2021-10-07 15:31:56.37723-07"
263,9,20212022,8478469,"2021-10-07 15:31:56.777624-07","2021-10-07 15:31:56.777624-07"
264,9,20212022,8479376,"2021-10-07 15:31:57.196364-07","2021-10-07 15:31:57.196364-07"
265,9,20212022,8479458,"2021-10-07 15:31:57.918364-07","2021-10-07 15:31:57.918364-07"
266,9,20212022,8480029,"2021-10-07 15:31:58.264617-07","2021-10-07 15:31:58.264617-07"
267,9,20212022,8480064,"2021-10-07 15:31:58.564767-07","2021-10-07 15:31:58.564767-07"
268,9,20212022,8480073,"2021-10-07 15:31:58.945719-07","2021-10-07 15:31:58.945719-07"
269,9,20212022,8480208,"2021-10-07 15:31:59.339762-07","2021-10-07 15:31:59.339762-07"
270,9,20212022,8480448,"2021-10-07 15:31:59.724628-07","2021-10-07 15:31:59.724628-07"
271,9,20212022,8481544,"2021-10-07 15:32:00.080537-07","2021-10-07 15:32:00.080537-07"
272,9,20212022,8481596,"2021-10-07 15:32:00.242589-07","2021-10-07 15:32:00.242589-07"
273,9,20212022,8482116,"2021-10-07 15:32:00.560945-07","2021-10-07 15:32:00.560945-07"
274,9,20212022,8482245,"2021-10-07 15:32:00.942834-07","2021-10-07 15:32:00.942834-07"
275,10,20212022,8469455,"2021-10-07 15:32:01.322641-07","2021-10-07 15:32:01.322641-07"
276,10,20212022,8473415,"2021-10-07 15:32:01.699505-07","2021-10-07 15:32:01.699505-07"
